Date,Product,Region,Quantity,Price,Total
2024-01-15,Laptop,London,3,1299,=(* D2 E2)
2024-01-16,Mobile Phone,Manchester,2,799,=(* D3 E3)
2024-01-17,Tablet,Birmingham,1,599,=(* D4 E4)
2024-01-18,Headphones,Liverpool,4,129,=(* D5 E5)
2024-01-19,Keyboard,Bristol,2,89,=(* D6 E6)
2024-01-20,Mouse,Edinburgh,5,49,=(* D7 E7)
2024-01-21,Laptop,Glasgow,1,1399,=(* D8 E8)
2024-01-22,Mobile Phone,Leeds,3,849,=(* D9 E9)
2024-01-23,Tablet,London,2,649,=(* D10 E10)
2024-01-24,Headphones,Manchester,6,149,=(* D11 E11)
2024-01-25,Keyboard,Birmingham,3,99,=(* D12 E12)
2024-01-26,Mouse,Liverpool,4,59,=(* D13 E13)
2024-01-27,Laptop,Bristol,2,1199,=(* D14 E14)
2024-01-28,Mobile Phone,Edinburgh,1,999,=(* D15 E15)
2024-01-29,Tablet,Glasgow,3,549,=(* D16 E16)
2024-01-30,Headphones,Leeds,5,139,=(* D17 E17)
2024-01-31,Keyboard,London,2,79,=(* D18 E18)
2024-02-01,Mouse,Manchester,6,45,=(* D19 E19)
2024-02-02,Laptop,Birmingham,2,1499,=(* D20 E20)
2024-02-03,Mobile Phone,Liverpool,4,899,=(* D21 E21)
2024-02-04,Tablet,Bristol,1,629,=(* D22 E22)
2024-02-05,Headphones,Edinburgh,3,159,=(* D23 E23)
2024-02-06,Keyboard,Glasgow,5,95,=(* D24 E24)
2024-02-07,Mouse,Leeds,4,55,=(* D25 E25)
2024-02-08,Laptop,London,2,1349,=(* D26 E26)
2024-02-09,Mobile Phone,Manchester,3,879,=(* D27 E27)
2024-02-10,Tablet,Birmingham,2,619,=(* D28 E28)
2024-02-11,Headphones,Liverpool,5,145,=(* D29 E29)
2024-02-12,Keyboard,Bristol,4,92,=(* D30 E30)
2024-02-13,Mouse,Edinburgh,6,52,=(* D31 E31)
2024-02-14,Laptop,Glasgow,1,1449,=(* D32 E32)
2024-02-15,Mobile Phone,Leeds,3,929,=(* D33 E33)
2024-02-16,Tablet,London,2,639,=(* D34 E34)
,,,,Sum,=(SUM F2:F34)